,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,antihypertensive_medicine_v1,visit_01,besg_1_screening,,checkbox,Deltager tager følgende antihypertensiva:,"1, Thiazid (bendroflumethiazid m. KCl, hydrochlorthiazid) | 2, Calciumantagonist (amlodipin, lercanidipin, verapamil, diltiazem) | 3, ACE-hæmmer (enalapril, ramipril) | 4, Angiotensin-II-receptorblokker (losartan, candesartan) | 5, Andet præparat | 6, Deltager tager ikke antihypertensiva","Ved kombinationspræparater, kryds begge indholdsstoffer af og skriv dosis hver for sig.",,,,,,y,,,,,Lists which antihypertensive medications the participant uses. Visit 4.
appointments_booked_outlook_calendar_v1_admin,appointments_booked_outlook_calendar_v1,visit_01,besg_1_screening,,radio,"Er besøgstider for V2, V3 og V4 booket ind i ON LiMiT-kalenderen i Outlook? ","1, Ja | 2, Nej",,,,,,,y,,,,,"Indicate whether the visit appointments for V2, V3, and V4 have been entered into the ON LiMiT calendar in Outlook. Visit 1. Added from ID15."
appointments_booked_sp_v1_admin,appointments_booked_sp_v1,visit_01,besg_1_screening,,radio,"Er besøgstider for V2, V3 og V4 booket ind i SP? ","1, Ja | 2, Nej",,,,,,,y,,,,,"Indicate whether the visit appointments for V2, V3, and V4 have been booked in SP. Visit 1. Added from ID15."
,atorvastatin_dose_v1,visit_01,besg_1_screening,,text,Atorvastatin dosis:,,Mg/dag,number,,,,[statins_medicine_v1(1)] = '1',y,,,,,States the Atorvastatin dose. Mg/day. Visit 4.
bed_burden_score_v1_admin,bed_burden_score_v1,visit_01,besg_1_screening,,calc,"<div class=""rich-text-field-label""><p>10c. BED belastningsscore (fra BED-Q udfyldt til screeningsbesøget)</p> <p><em><span style=""font-weight: normal;"">Skalaen scores ved sammentælling af spørgsmål 1-7 fra 0-5 (spørgsmål 8 tælles ikke med): </span></em><br><em><span style=""font-weight: normal;"">0 = Ingen BED symptomer </span></em><br><em><span style=""font-weight: normal;"">1-9 = Sub-kliniske BED symptomer </span></em><br><em><span style=""font-weight: normal;"">10-14 = Mulig indikation for BED, mild grad </span></em><br><em><span style=""font-weight: normal;"">15-21 = Mulig indikation for BED, moderat grad </span></em><br><em><span style=""font-weight: normal;"">22-28 = Mulig indikation for BED, svær grad </span></em><br><em><span style=""font-weight: normal;"">29-35 = Mulig indikation for BED, ekstrem grad </span></em><br><em><span style=""font-weight: normal;"">Minimum er 0; Maksimum er 35 </span></em></p></div>",[besg_1__screening_arm_1][bed_q_burden_score],,,,,,,y,,,,,BED burden score. Visit 1.
bed_q_diagnostic_score_v1_admin,bed_q_diagnostic_score_v1,visit_01,besg_1_screening,,calc,"<div class=""rich-text-field-label""><p><span style=""background-color: #e67e23;"">OBS: Disse værdier ses, når deltager har udfyldt spørgeskemaet BED-Q. </span></p> <p> </p> <p>10b. Opfylder personen de diagnostiske kriterier for en BED-diagnose (ud fra BED-Q udfyldt til screeningsbesøget)?</p> <p>0 = Nej, 1 = Ja </p> <p><br><em><span style=""font-weight: normal;"">For at opfylde kriterier for en BED diagnose skal: </span></em><br><em><span style=""font-weight: normal;"">• Både spørgsmål 1 og 2 være 2 eller højere. </span></em><br><em><span style=""font-weight: normal;"">• Mindst tre spørgsmål fra 3 til 7 være 2 eller højere. </span></em><br><em><span style=""font-weight: normal;"">• Spørgsmål 8 besvares med ""Nej"" eller ""Ja, mindre end 1 gang om ugen"". </span></em><br><em><span style=""font-weight: normal;"">• Spørgsmål 9 besvares med ""Ja"". </span></em><br><br></p></div>",[besg_1__screening_arm_1][bed_q_diagnostic_score],Eksklusion hvis Ja (1),,,,,,y,,,,,Whether the participant meets the criteria for BED-diagnosis. Visit 1.
,bendroflumethiazid_dose_v1,visit_01,besg_1_screening,,text,Bendroflumethiazid m. KCl dosis:,,Mg/dag,number,,,,[thiazid_type_v1(1)] = '1',y,,,,,States the Bendroflumethiazid with KCl dose. Mg/day. Visit 4.
,binge_eating_v1,visit_01,besg_1_screening,,radio,"<div class=""rich-text-field-label""><p>10a. Er deltageren diagnosticeret med overspisningslidelse (binge eating disorder)?</p> <p><span style=""font-weight: normal;"">Som projektmedarbejder kan du sige: </span></p> <p><span style=""font-weight: normal;""><em>Har en læge eller psykolog nogensinde nævnt, at du kunne have overspisningslidelse (binge eating disorder)?</em></span></p> <p> </p></div>","1, Ja | 2, Nej",Eksklusion hvis Ja.,,,,,,y,,,,,Diagnosis status of binge eating disorder. Self-reported by participant. Visit 1.
,blood_sample_not_v1,visit_01,besg_1_screening,,text,"Hvis nej, hvorfor ikke",,"Angiv årsag til, hvorfor deltageren ikke har fået taget en blodprøve.",,,,,[blood_sample_taken_v1] = '2',,,,,,Reason to why the bloodsample has not been taken. Recorded by study staff. Visit 1.
,blood_sample_taken_v1,visit_01,besg_1_screening,"<div class=""rich-text-field-label""><p>Blodprøvetagning og EKG</p> <p><span style=""font-weight: normal;"">Som en del af screeningen skal deltageren have taget en blodprøve.</span></p> <p><span style=""font-weight: normal;"">Der måles HbA1c, glukose, GAD65-antistof og C-peptid (ikke-fastende). </span></p> <p><span style=""font-weight: normal;"">Der er svar på HbA1c og C-peptid inden for 1 time. Der er svar på GAD65-antistof inden for 1 uge. </span></p></div>",radio,Har deltageren fået taget en blodprøve?,"1, Ja | 2, Nej",,,,,,,y,,,,,Whether participant had a blood sample taken. Visit 1.
,bmi_eligible_v1,visit_01,besg_1_screening,,radio,Opfyldes BMI som inklusionskriterium? ,"1, Ja - Deltageren har et BMI på ≥ 27 | 2, Nej - Deltageren har et BMI på < 27",Inklusionskriterium: BMI ≥ 27.,,,,,,y,,,,,Indicates whether the participant meets the BMI inclusion criterion. Recorded by study staff. Visit 1.
,bmi_v1,visit_01,besg_1_screening,,calc,BMI,"round(([weight_v1])/(([height_v1])^(2)), 1)",Inklusionskriterium: BMI ≥ 27.,,,,,,y,,,,,"Body Mass Index (BMI) in kg/m², calculated from weight and height. Visit 1."
,calciumantagonist_type_v1,visit_01,besg_1_screening,,checkbox,Hvilken calciumantagonist?,"1, Amlodipin | 2, Lercanidipin | 3, Verapamil | 4, Diltiazem | 5, Andet",,,,,,[antihypertensive_medicine_v1(2)] = '1',y,,,,,Specifies which calcium channel blocker the participant uses. Visit 4.
,canagliflozin_dose_v1,visit_01,besg_1_screening,,text,Canagliflozin (Invokana) dosis:,,Mg/dag,number,,,,[sglt2_type_v1(1)] = '1',y,,,,,States the Canagliflozin dose. Mg/day. Visit 4.
,candesartan_dose_v1,visit_01,besg_1_screening,,text,Candesartan dosis:,,Mg/dag,number,,,,[angiotensin_ii_type_v1(2)] = '1',y,,,,,States the Candesartan dose. Mg/day. Visit 4.
cgm_info_v1_admin,cgm_info_v1,visit_01,besg_1_screening,4. CGM: Introduktion til glukosemåling i hjemmet og påsætning af glukosemåler,radio,"<div class=""rich-text-field-label""><p>Har deltageren fået information om brugen af blodsukkersensor (CGM)?<br><br><span style=""font-weight: normal;"">Information om brug til blodsukkersensor (CGM).</span></p> <p><span style=""text-decoration: underline; font-weight: normal;""><em>Som projektmedarbejder kan du sige:</em></span></p> <p><em><span style=""font-weight: normal;"">""Ved denne undersøgelse påsætter vi en blodsukkersensor på dig, som du skal bære i 10 dage. I dag sætter vi den på, og sætter derefter sammen en påmindelse i din personlige kalender, når der er gået 10 dage om, at du skal tage den af. </span></em></p> <p><em><span style=""font-weight: normal;"">Blodsukkersensoren vil automatisk måde dit blodsukker hele døgnet i de 10 dage du har den på og gemme målingerne.</span></em></p> <p><em><span style=""font-weight: normal;"">Når du tager blodsukkersensoren af, skal du ligge den i denne zip-pose, og tage den med til næste besøg. Når vi modtager blodsukkersensoren fra dig, vil vi aflæse målingerne. </span></em><br><em><span style=""font-weight: normal;""><br>Når du bærer blodsukkersensoren i de 10 dage, skal du leve, som du normalt gør (dvs. gå i bad mm. som du plejer). Dog kan eks. hyppig sauna øge risikoen for, at sensoren falder af før tid. </span></em></p> <p><em><span style=""font-weight: normal;"">Hvis den falder af - eller hvis der opstår spørgsmål - kan du ringe til ON LiMiT projekttelefonen: 21 47 18 16.</span></em><em><span style=""font-weight: normal;"">""</span></em></p></div>","1, Ja | 2, Nej",,,,,,,y,,,,,Whether the participant has been informed about the use of CGM. Visit 1.
,cgm_no_v1,visit_01,besg_1_screening,,text,"Hvis ""nej"", hvorfor ikke?",,,,,,,[cgm_v1] = '2',y,,,,,"The reason why, if the participant didn't get the CGM on. Visit 1."
cgm_v1_admin,cgm_v1,visit_01,besg_1_screening,,radio,Er blodsukkersensoren (CGM) påsat?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether the participant has been fitted with a CGM. Visit 1.
cgmreader_v1_admin,cgmreader_v1,visit_01,besg_1_screening,,radio,Hvilken reader blev brugt til at indlæse sensoren? ,"1, 1 | 2, 2 | 3, 3",OBS! Samme reader SKAL bruges til at aflæse sensoren når den tages af/ afleveres 14 dage efter.,,,,,[cgm_v1] = '1',y,,,,,The number of the CGM reader. Visit 1.
,comment_blood_sample_v1,visit_01,besg_1_screening,,notes,Kommentar til blodprøve mv.,,,,,,,,,LV,,,,Comments regarding the bloodsample. Recorded by study staff. Visit 1.
,comments_end_v1,visit_01,besg_1_screening,,notes,"<div class=""rich-text-field-label""><p>Her noteres generelle kommentarer til besøg 1</p> <p><span style=""font-weight: normal;"">Det kan eksempelvis være:</span></p> <p><span style=""font-weight: normal;"">- Kommentarer om deltagerens samarbejde og forståelse</span><br><span style=""font-weight: normal;"">- Eventuelle afvigelser i protokollen eller komplikationer</span><br><span style=""font-weight: normal;"">- Information om udførte prøver og tests (fx hvis noget blev udsat eller aflyst)</span><br><span style=""font-weight: normal;"">- Eventuelle anbefalinger eller opfølgninger til næste besøg</span><br><span style=""font-weight: normal;"">- Logning af særlige hændelser eller observationer under besøget</span><br><span style=""font-weight: normal;"">- Kommentarer til dataindsamlingen, fx om data mangler eller kvaliteten</span><br><span style=""font-weight: normal;"">- Noter om deltagerens spørgsmål eller bekymringer</span></p> <p><span style=""font-weight: normal;""><em>Det er vigtigt at udfylde dette felt, da det bidrager til dokumentationen af besøget og hjælper med at samle vigtig information. Kommentarerne understøtter forståelsen af arbejdsgangene og projektets gennemførlighed, herunder identifikation af eventuelle udfordringer.</em></span></p> <p> </p> <p data-start=""0"" data-end=""184""><span style=""background-color: #bfedd2;"">Hvis der er generel information om deltageren, som er relevant for projektdeltagelsen, noteres den under instrumentet <strong data-start=""118"" data-end=""132"">""Stamdata""</strong> i feltet <strong data-start=""142"" data-end=""181"">""Noter ift. deltagelse i projektet""</strong>.</span></p> <p data-start=""186"" data-end=""373"" data-is-last-node="""" data-is-only-node=""""><span style=""background-color: #bfedd2;"">Det kan fx være oplysninger om, hvem personen bor sammen med, særlige forhold i husstanden eller en akut syg pårørende.</span></p></div>",,,,,,,,,LV,,,,General comments and observations recorded. Free-text notes by study staff. Visit 1.
,compliance_risk_expl_v1,visit_01,besg_1_screening,,text,13a. Uddyb vurdering.,,,,,,,[compliance_risk_v1]='2' or [compliance_risk_v1]='3',,,,,,Notes explaining the assessment of the participant's likelihood to comply with study procedures and/or interventions. Reported by study staff. Visit 1.
